行权价,C_最新价,C_买价,C_卖价,C_持仓,P_最新价,P_买价,P_卖价,P_持仓
672,,,,,3.5,3.5,3.6,70.0
680,,,,,3.7,3.74,4.8,40.0
688,,,,,3.98,3.68,4.9,53.0
696,214.5,205.3,221.2,2.0,4.44,3.28,5.32,26.0
704,,,,,4.58,4.72,5.7,26.0
712,,,,,5.18,3.28,29.68,6.0
720,,,,,5.7,5.4,6.0,28.0
728,,,,,11.7,11.32,22.44,19.0
736,,,,,7.6,6.34,7.58,46.0
744,,,,,7.18,6.9,14.66,72.0
752,,,,,11.02,7.04,9.58,23.0
760,,,,,8.38,7.6,9.98,208.0
768,,,,,13.92,8.2,11.36,20.0
776,,,,,15.38,14.78,17.62,17.0
784,,,,,11.04,10.08,13.56,13.0
792,,,,,12.3,11.22,13.72,45.0
800,,,,,14.12,13.7,14.1,48.0
808,,,,,16.24,14.96,15.46,36.0
816,,,,,16.38,16.46,17.0,35.0
824,,,,,18.02,17.92,18.58,28.0
832,,,,,18.8,19.58,20.12,45.0
840,,,,,22.12,21.32,22.06,48.0
848,,,,,24.16,23.28,23.96,23.0
856,,,,,25.76,25.34,26.06,12.0
864,,,,,29.6,27.54,28.3,15.0
872,102.42,85.66,101.56,7.0,30.96,29.94,30.66,35.0
880,98.56,94.92,96.44,6.0,32.5,32.5,33.26,27.0
888,92.82,89.82,91.14,11.0,34.5,35.1,36.08,26.0
896,87.44,84.66,86.24,12.0,37.0,38.48,39.1,21.0
904,83.1,79.92,81.52,16.0,41.36,41.08,42.14,32.0
912,78.12,75.4,76.8,10.0,43.88,44.44,45.52,39.0
920,71.92,71.6,72.22,149.0,48.46,47.98,48.84,33.0
928,71.08,66.44,68.0,11.0,51.9,52.0,52.66,33.0
936,55.34,51.7,57.38,10.0,53.96,55.8,56.56,24.0
944,59.64,58.6,59.76,27.0,59.5,59.42,60.6,33.0
952,57.46,54.9,56.08,17.0,101.54,76.3,104.98,36.0
960,52.8,51.44,52.44,62.0,106.94,94.58,137.68,28.0
968,51.14,48.12,49.24,29.0,94.56,84.16,105.14,28.0
976,45.32,45.02,46.1,33.0,99.74,89.06,110.76,33.0
984,45.24,42.2,42.96,16.0,99.9,95.12,116.4,30.0
992,42.16,39.36,40.32,26.0,83.66,87.16,109.72,28.0
1000,37.0,37.06,37.6,111.0,124.0,122.62,150.32,36.0
1008,36.7,34.4,35.24,20.0,105.1,97.84,120.92,26.0
1016,32.88,31.98,32.9,27.0,103.38,103.98,126.82,27.0
1024,31.12,30.06,31.12,23.0,86.82,77.08,85.62,19.0
1032,27.1,28.1,30.3,32.0,111.84,108.76,153.86,12.0
1040,22.68,21.68,23.92,36.0,,,,
1048,26.82,24.76,26.72,21.0,,,,
1056,22.98,23.22,24.88,25.0,92.28,82.0,110.0,2.0
1064,23.2,21.16,23.22,18.0,,,,
1072,17.0,18.08,20.8,21.0,128.8,25.06,0.0,1.0
1080,21.26,19.44,20.32,35.0,,,,
1088,19.58,18.12,19.94,126.0,,,,
1096,18.9,17.36,19.2,80.0,,,,
1104,15.0,13.62,16.66,35.0,,,,
1112,14.3,12.96,15.64,14.0,,,,
1120,13.76,13.28,20.46,3.0,,,,
1128,13.64,13.72,15.28,11.0,,,,
1136,17.56,15.68,189.04,3.0,,,,
1144,47.4,15.0,0.0,2.0,,,,
1152,45.54,14.64,0.0,2.0,,,,
1160,24.14,18.58,45.84,1.0,,,,
1168,11.68,1.2,175.76,1.0,,,,
1176,11.12,1.12,15.0,12.0,,,,
1184,9.54,9.22,161.02,8.0,223.44,42.06,0.0,1.0
1192,9.62,9.2,15.74,15.0,,,,
1200,9.5,9.4,11.5,197.0,,,,
1208,9.46,1.08,14.56,9.0,,,,
1216,8.58,7.98,157.66,8.0,,,,
1224,8.44,6.72,158.56,4.0,,,,
1232,7.52,1.66,158.2,3.0,,,,
1240,7.38,6.8,16.62,16.0,,,,
1248,8.08,1.12,168.78,7.0,,,,
1256,6.78,6.12,11.54,10.0,,,,
1264,6.64,5.16,11.54,12.0,,,,
1272,6.7,6.04,9.48,26.0,,,,
1280,6.32,6.0,7.98,22.0,,,,
1288,6.36,6.22,6.5,220.0,,,,
1296,5.56,4.4,11.54,19.0,,,,
1304,5.62,5.0,11.48,19.0,,,,
1312,5.72,4.7,14.7,18.0,,,,
1320,5.12,4.44,14.8,33.0,,,,
1328,5.2,4.7,6.22,42.0,,,,
1336,4.8,4.52,4.9,116.0,,,,
1344,5.0,4.58,5.18,131.0,,,,
