行权价,C_最新价,C_买价,C_卖价,C_持仓,P_最新价,P_买价,P_卖价,P_持仓
2500,409.0,390.0,407.5,0.0,0.5,0.0,0.5,535
2600,379.0,327.0,410.0,0.0,0.5,0.0,0.5,1228
2650,,,,,0.5,0.5,1.0,1810
2700,222.5,211.5,232.0,406.0,1.5,1.5,2.0,4157
2750,174.0,177.0,178.0,473.0,3.0,3.0,3.5,2018
2800,130.5,130.5,131.5,409.0,6.0,5.5,6.0,2071
2850,87.5,88.5,89.5,377.0,14.0,13.5,14.0,2767
2900,52.5,54.5,55.5,2058.0,30.5,30.0,30.5,5428
2950,31.5,32.0,32.5,4937.0,59.0,56.5,57.5,3357
3000,18.0,18.0,18.5,3697.0,94.5,93.0,94.0,512
3050,10.5,10.5,11.0,2235.0,138.5,135.0,136.5,305
3100,7.0,6.5,7.0,2495.0,180.5,181.0,182.5,530
3150,4.5,4.0,4.5,1818.0,230.5,228.5,230.0,437
3200,3.0,3.0,3.5,2393.0,308.0,308.5,328.5,292
3250,2.0,2.0,2.5,1126.0,330.0,320.0,340.0,219
3300,2.0,1.5,2.0,1125.0,343.5,163.5,0.0,50
3350,1.5,1.0,1.5,1041.0,464.0,454.0,477.0,1
3400,1.5,1.0,1.5,1078.0,469.0,461.0,484.0,1
